"Brewery","Beer","Street","Street2","City","State","Zip","Latitude","Longitude"
"Belching Beaver Brewery","Deftones Phantom Bride IPA","980 Park Center Dr","","Vista","CA","92081","33.1450269",-117.2311713
"Bell's Brewery, Inc.","Am I Right Or Amarillo","355 E. KALAMAZOO?AVE.","","Kalamazoo","MI","49007","42.2949875",-85.578566
"Blackberry Farm Brewery","Blackberry Rye","1471 West Millers Cove Rd","","Walland","TN","37886","35.6861131",-83.867807
"Blackberry Farm Brewery","Barrel Series Brett Saison","1471 West Millers Cove Rd","","Walland","TN","37886","35.6861131",-83.867807
"Bottle Logic Brewing","Byzantine Vision","1072 N Armando St","","Anaheim","CA","92806","33.84913581",-117.8598915
"Bottle Logic Brewing","Fundamental Forces","1072 N Armando St","","Anaheim","CA","92806","33.84913581",-117.8598915
"Bottle Logic Brewing","Reaction State","1072 N Armando St","","Anaheim","CA","92806","33.84913581",-117.8598915
"Bottle Logic Brewing","Stronger Than Fiction","1072 N Armando St","","Anaheim","CA","92806","33.84913581",-117.8598915
"Brasserie Cantillon","Cantillon Zwanze 2016","Rue Gheude 56","","Brussels","Belgium","1070","33.84913581",-117.8598915
"Brasserie Dupont sprl","The Lost Abbey/Brasserie Dupont Deux Amis","1 Rue Saint-Ambroise","","77000 Melun"," France","0","48.3153362",0.008917
"Brew Gentlemen","DoubleMex","512 Braddock Ave","","Braddock","PA","15104","40.4042259",-79.8723432
"Brewery Ommegang","Game Of Thrones: Valar Dohaeris","656 County Hwy 33","","Cooperstown","NY","13326","38.2555784",-85.7440385
"Brewery Ommegang","Siren's Song","656 County Hwy 33","","Cooperstown","NY","13326","38.2555784",-85.7440385
"Brouwerij 3 Fonteinen","Oude Geuze Cuvée Armand & Gaston","3 Herman Teirlinckplein","","Beersel","Belgium","1650","50.7648754,",4.2734747
"Brouwerij Three Fonteinen","Oude Geuze Cuvée Armand & Gaston","3 Herman Teirlinckplein","","Beersel","Belgium","1650","50.7648754,",4.2734747
"Bruery Terreux","Frucht: Yumberry","1174 N Grove St","","Anaheim","CA","92806","33.8574748",-117.8443033
"Bruery Terreux","Frambulous","1174 N Grove St","","Anaheim","CA","92806","33.8574748",-117.8443033
"Burial Beer Company","Burial / Other Half I Left My Wallet In Bed-Stuy Juice Bar","40 Collier Ave","","Asheville","NC","28801","35.5881529",-82.5559888
"Burlington Beer Company","Orbital Elevator","25 Omega Dr #150","","Williston","VT","5495","44.4475952",-73.1276669
"Carton Brewing Company","Unjunct","6 E Washington Ave","","Atlantic Highlands","NJ","7716","40.4117822",-74.0403682
"Carton Brewing Company","Caffé Corretto","6 E Washington Ave","","Atlantic Highlands","NJ","7716","40.4117822",-74.0403682
"Carton Brewing Company","EGOIPA","6 E Washington Ave","","Atlantic Highlands","NJ","7716","40.4117822",-74.0403682
"Central Waters Brewing Company","Brewer's Reserve Bourbon Barrel Quadruple Ale","351 Allen St","","Amherst","WI","54406","44.4421815",-89.2819771
"Central Waters Brewing Company","Nineteen","351 Allen St","","Amherst","WI","54406","44.4421815",-89.2819771
"Cigar City Brewing","Marshal Zhukov (Vanilla Hazelnut)","3924 W Spruce St","","Tampa","FL","33607","27.958895",-82.509196
"Cigar City Brewing","Cigar City / The Answer - Good Nightmare Mekong","3924 W Spruce St","","Tampa","FL","33607","27.958895",-82.509196
"Cigar City Brewing","Cigar City/ The Answer Good Nightmare Mekong","3924 W Spruce St","","Tampa","FL","33607","27.958895",-82.509196
"Cigar City Brewing","Dioscorides","3924 W Spruce St","","Tampa","FL","33607","27.958895",-82.509196
"Cigar City Brewing","Double Barrel Bolita Double Nut Brown Ale","3924 W Spruce St","","Tampa","FL","33607","27.958895",-82.509196
"Cigar City Brewing","Raspberry Halo","3924 W Spruce St","","Tampa","FL","33607","27.958895",-82.509196
"Cigar City Brewing","Trousseau","3924 W Spruce St","","Tampa","FL","33607","27.958895",-82.509196
"Civil Society Brewing","Seventh Wonder","1200 Town Center Dr #101","","Jupiter","FL","33458","26.889558",-80.1169707
"Clown Shoes","Exorcism Of Rachel Wall","23 Hayward St.","","Ipswich","MA","1938","27.958895",-82.509196
"Clown Shoes","Space Cake #7","23 Hayward St.","","Ipswich","MA","1938","27.958895",-82.509196
"Clown Shoes","Hammer Of The Beast","23 Hayward St.","","Ipswich","MA","1938","27.958895",-82.509196
"Collective Arts Brewing","Collective Project: IPA No. 1","207 Burlington St E","Canada","Hamilton","ON ","L8L 4H2","43.2707904",-79.8549052
"Collective Arts Brewing","Collective Project: Imperial IPA","207 Burlington St E","Canada","Hamilton","ON ","L8L 4H2","43.2707904",-79.8549052
"Columbus Brewing Company","Citra Noel","2555 Harrison Rd","","Columbus","OH","43204","42.671798",-70.843505
"Commonwealth Brewing Company","Papi Chulo","2444 Pleasure House Rd","","Virginia Beach","VA","23455","36.913373",-76.131905
"Dark Horse Brewing Company","Smells Like A Citra Safety Meeting","511 South Kalamazoo Street","","Marshall","MI","49068","39.96931561",-83.06672828
"Dark Horse Brewing Company","Crooked Theratree","511 South Kalamazoo Street","","Marshall","MI","49068","39.96931561",-83.06672828
"de Garde Brewing","Pâle","6000 Blimp Blvd","","Tillamook","OR","97141","45.418664",-123.8018432
"de Garde Brewing","Anián","6000 Blimp Blvd","","Tillamook","OR","97141","45.418664",-123.8018432
"De Proefbrouwerij (bvba Andelot)","De Proefbrouwerij/Trillium Brewmaster's Collaboration Bouket Farmhouse Ale","Doornzelestraat 20","","Lochristi-Hijfte","Belgium","9080","51.1160013",3.8142995
"Deschutes Brewery","The Abyss (Scotch Barrel-Aged)","901 SW Simpson Ave","","Bend","OR","97702","44.7801883",-123.117885
"Deschutes Brewery","Conflux Series 2: Collage","901 SW Simpson Ave","","Bend","OR","97702","44.7801883",-123.117885
"Deschutes Brewery","The Abyss (Brandy Barrel-Aged)","901 SW Simpson Ave","","Bend","OR","97702","44.7801883",-123.117885
"Einstök Ölgerð (Einstök Beer Company)","Icelandic Wee Heavy","18 Furuvellir","","Akureyri","Iceland","","65.6899168",-18.09738
"Epic Brewing Company","Double Barrel Big Bad Baptist","825 State St","","Salt Lake City","UT","84111","40.1921625",-110.6785417
"Epic Brewing Company","Big Bad Baptista","825 State St","","Salt Lake City","UT","84111","40.1921625",-110.6785417
"Equilibrium Brewery","mc²","22 Henry St",""," Middletown","NY","10940","41.4461406",-74.4220944
"Evil Twin Brewing","Imperial Biscotti Break Raspberry Umami","446 Kent Ave","Apt 14A","Brooklyn","NY","11249","44.04780638",-121.3246184
"Exhibit 'A' Brewing Company","Hair Raiser","81 Morton St","","Framingham","MA","1702","42.2789104",-71.4038604
"Exhibit 'A' Brewing Company","Goody Two Shoes","81 Morton St","","Framingham","MA","1702","42.2789104",-71.4038604
"Exhibit 'A' Brewing Company","Briefcase Porter","81 Morton St","","Framingham","MA","1702","42.2789104",-71.4038604
"Exhibit 'A' Brewing Company","The Cat's Meow","81 Morton St","","Framingham","MA","1702","42.2789104",-71.4038604
"Fieldwork Brewing Company","Hazy Train","1805 Capitol Ave","","Sacramento","CA","95811","38.2263719",-122.4534353
"Fieldwork Brewing Company","Pulp","1805 Capitol Ave","","Sacramento","CA","95811","38.2263719",-122.4534353
"Finback Brewery","Meridian","7801 77th Ave","","Ridgewood","NY","11385","40.7066971",-73.875447
"Finback Brewery","Visible Spectrum","7801 77th Ave","","Ridgewood","NY","11385","40.7066971",-73.875447
"Finback Brewery","Oscillation 006","7801 77th Ave","","Ridgewood","NY","11385","40.7066971",-73.875447
"Finback Brewery","Between The Dead","7801 77th Ave","","Ridgewood","NY","11385","40.7066971",-73.875447
"Finback Brewery","Oscillation 005","7801 77th Ave","","Ridgewood","NY","11385","40.7066971",-73.875447
"Finback Brewery","Oscillation 007","7801 77th Ave","","Ridgewood","NY","11385","40.7066971",-73.875447
"Finback Brewery","Echelon","7801 77th Ave","","Ridgewood","NY","11385","40.7066971",-73.875447
"Firestone Walker Brewing Company","Luponic Distortion: Revolution No. 004","1400 Ramada Drive","","Paso Robles","CA","93446","35.59647955",-120.6944042
"Firestone Walker Brewing Company","Leo V. Ursus - Fortem","1400 Ramada Drive","","Paso Robles","CA","93446","35.59647955",-120.6944042
"Firestone Walker Brewing Company","Luponic Distortion: Revolution No. 003","1400 Ramada Drive","","Paso Robles","CA","93446","35.59647955",-120.6944042
"Firestone Walker Brewing Company","Rye Double DBA","1400 Ramada Drive","","Paso Robles","CA","93446","35.59647955",-120.6944042
"Firestone Walker Brewing Company","Firestone 20 - Anniversary Ale","1400 Ramada Drive","","Paso Robles","CA","93446","35.59647955",-120.6944042
"Firestone Walker Brewing Company","STiVO Pils","1400 Ramada Drive","","Paso Robles","CA","93446","35.59647955",-120.6944042
"Flying Fish Brewing Company","Exit 7:  20th Anniversary Pork Roll Porter","900 Kennedy Blvd","","Somerdale","NJ","8083","39.8536248",-75.022274
"Foam Brewers","Pavement","112 Lake St","","Burlington","VT","5401","44.4791379",-73.2221856
"Fort George Brewery + Public House","3 Way IPA (2016 W/ Barley Brown's & Melvin)","1483 Duane St","","Astoria","OR","97103","46.1884581",-123.8297099
"Fort Hill Brewery","Fresh Pick","30 Fort Hill Rd","","Easthampton","MA","1027","42.2812571",-72.6423791
"Fort Hill Brewery","Jigsaw Jazz","30 Fort Hill Rd","","Easthampton","MA","1027","42.2812571",-72.6423791
"Foundation Brewing Company","Venture","1 Industrial Way?","","Portland","ME","4103","35.59647955",-120.6944042
"Fremont Brewing Company","Lush IPA","3409 Woodland Park Avenue North","","Seattle","WA","98103","43.7030253",-70.320296
"Frost Beer Works","Junior IPA","171 Commerce St","","Hinesburg","VT","5461","44.3354165",-73.111185
"Frost Beer Works","Plush","171 Commerce St","","Hinesburg","VT","5461","44.3354165",-73.111185
"Funky Buddha Brewery","Butta' Cup Peanut Butter Cup Double Brown Ale","1201 NE 38th St","","Oakland Park","FL","33334","26.17417107",-80.13144566
"Goose Island Beer Company","Proprietor's Bourbon County Brand Stout (2016)","1800 W Fulton St","","Chicago","IL","60612","47.64919175",-122.3444366
"Goose Island Beer Company","Grand Prestige","1800 W Fulton St","","Chicago","IL","60612","47.64919175",-122.3444366
"Grimm Artisanal Ales","In Mid-Air","PO Box 150472","","Brooklyn","NY","11215","41.8869818",-87.6724
"Grimm Artisanal Ales","Present Perfect","PO Box 150472","","Brooklyn","NY","11215","41.8869818",-87.6724
"Grimm Artisanal Ales","Frou Frou","PO Box 150472","","Brooklyn","NY","11215","41.8869818",-87.6724
"Grimm Artisanal Ales","Cherry Raspberry Pop!","PO Box 150472","","Brooklyn","NY","11215","41.8869818",-87.6724
"Grimm Artisanal Ales","Magnetic Tape","PO Box 150472","","Brooklyn","NY","11215","41.8869818",-87.6724
"Grimm Artisanal Ales","Kinetic Cloud","PO Box 150472","","Brooklyn","NY","11215","41.8869818",-87.6724
"Grimm Artisanal Ales","Catch Wave","PO Box 150472","","Brooklyn","NY","11215","41.8869818",-87.6724
"Grimm Artisanal Ales","Sumi Ink","PO Box 150472","","Brooklyn","NY","11215","41.8869818",-87.6724
"Grimm Artisanal Ales","Sugarmaker","PO Box 150472","","Brooklyn","NY","11215","41.8869818",-87.6724
"Grimm Artisanal Ales","Awoogah","PO Box 150472","","Brooklyn","NY","11215","41.8869818",-87.6724
"Grimm Artisanal Ales","Magnetic Compass","PO Box 150472","","Brooklyn","NY","11215","41.8869818",-87.6724
"Grimm Artisanal Ales","Skyspace","PO Box 150472","","Brooklyn","NY","11215","41.8869818",-87.6724
"Grimm Artisanal Ales","Blackberry Orange Pop!","PO Box 150472","","Brooklyn","NY","11215","41.8869818",-87.6724
"Grimm Artisanal Ales","Zap","PO Box 150472","","Brooklyn","NY","11215","41.8869818",-87.6724
"Grimm Artisanal Ales","Splish","PO Box 150472","","Brooklyn","NY","11215","41.8869818",-87.6724
"Grimm Artisanal Ales","Field Rotation","PO Box 150472","","Brooklyn","NY","11215","41.8869818",-87.6724
"Grimm Artisanal Ales","Light Year","PO Box 150472","","Brooklyn","NY","11215","41.8869818",-87.6724
"Grimm Artisanal Ales","Halftone","PO Box 150472","","Brooklyn","NY","11215","41.8869818",-87.6724
"Hailstorm Brewing Company","Nimbus Session IPA","8060 186th St","","Tinley Park","IL","60487","41.5535258",-87.817327
"Hailstorm Brewing Company","Cumulus","8060 186th St","","Tinley Park","IL","60487","41.5535258",-87.817327
"Hailstorm Brewing Company","Stratus Double IPA","8060 186th St","","Tinley Park","IL","60487","41.5535258",-87.817327
"Half Acre Beer Company","Benthic","4257 N Lincoln Ave",""," Chicago","IL","60618","41.9593369",-87.6841635
"Henniker Brewing Company","Damn Sure","129 Centervale Rd","","Henniker","NH","3242","43.17737",-71.7826537
"Hill Farmstead Brewery","Double Nelson","403 Hill Rd","","Greensboro Bend","VT","5842","44.6068317",-72.2653128
"Hill Farmstead Brewery","Society & Solitude #8","403 Hill Rd","","Greensboro Bend","VT","5842","44.6068317",-72.2653128
"Hill Farmstead Brewery","Dorothy (Wine Barrel Aged)","403 Hill Rd","","Greensboro Bend","VT","5842","44.6068317",-72.2653128
"Hill Farmstead Brewery","Works Of Love : Anchorage 2016 (Mandaerina Bavaria)","403 Hill Rd","","Greensboro Bend","VT","5842","44.6068317",-72.2653128
"Hill Farmstead Brewery","Six Years","403 Hill Rd","","Greensboro Bend","VT","5842","44.6068317",-72.2653128
"Hill Farmstead Brewery","Elaborative #5","403 Hill Rd","","Greensboro Bend","VT","5842","44.6068317",-72.2653128
"Hill Farmstead Brewery","Society & Solitude #9","403 Hill Rd","","Greensboro Bend","VT","5842","44.6068317",-72.2653128
"Hill Farmstead Brewery","Karma  Emulsion","403 Hill Rd","","Greensboro Bend","VT","5842","44.6068317",-72.2653128
"Hill Farmstead Brewery","Beyond Good And Evil (Maple Syrup Barrel)","403 Hill Rd","","Greensboro Bend","VT","5842","44.6068317",-72.2653128
"Hill Farmstead Brewery","Madness &  Civilization #7","403 Hill Rd","","Greensboro Bend","VT","5842","44.6068317",-72.2653128
"Hill Farmstead Brewery","Civil Disobedience #19","403 Hill Rd","","Greensboro Bend","VT","5842","44.6068317",-72.2653128
"Hill Farmstead Brewery","Flora Peach/Pear","403 Hill Rd","","Greensboro Bend","VT","5842","44.6068317",-72.2653128
"Holy Mountain Brewing Company","Midnight Still (Coffee & Vanilla)","1421 Elliott Ave W",""," Seattle","WA","98119","47.6308025",-122.3767013
"Hoof Hearted Brewing","I'll Have What She's Having","300 County Rd 26","","Marengo","CO","43334","37.5634246",-77.4580699
"Hoppin' Frog Brewery","T.O.R.I.S. The Tyrant","1680 E Waterloo Rd","","Akron","OH","44306","41.0245928",-81.4698994
"Industrial Arts Brewing Company","Tools Of The Trade","55 W Railroad Ave #25",""," Garnerville","NY","10923","41.208345",-73.9933576
"Insight Brewing","Surging From The East","2821 E Hennepin Ave","","Minneapolis","MN","55413","44.9919216",-93.2151561
"Interboro Brewing","Mad Fat Fluid","942 Grand St","","Brooklyn","NY","11211","40.712586",-73.9391357
"Ithaca Beer Company","Dr. Zaic","122 Ithaca Beer Dr","","Ithaca","NY","14850","42.416835",-76.5370487
"Jack's Abby Brewing","Beer Geek Helles","100 Clinton St","","Framingham","MA","1702","42.2801844",-71.4133563
"Jack's Abby Brewing","Saxony Lager","100 Clinton St","","Framingham","MA","1702","42.2801844",-71.4133563
"Jackie O's Pub & Brewery","Bourbon Barrel Oro Negro","24 W Union St","","Athens","OH","45701","25.7995463",-80.1975284
"Jackie O's Pub & Brewery","Full Allotment","24 W Union St","","Athens","OH","45701","25.7995463",-80.1975284
"Jackie O's Pub & Brewery","Bourbon Barrel Vanilla Black Maple","24 W Union St","","Athens","OH","45701","25.7995463",-80.1975284
"Jackie O's Pub & Brewery","Noble Sorrel","24 W Union St","","Athens","OH","45701","25.7995463",-80.1975284
"Jester King Brewery","2016 SPON — Méthode Gueuze","13005 Fitzhugh Road","Bld. B","Austin","TX","78736","40.2351985",-74.04515
"Jester King Brewery","2016 SPON FRUIT — Peach & Apricot","13005 Fitzhugh Road","Bld. B","Austin","TX","78736","40.2351985",-74.04515
"Kane Brewing Company","Party Wave","1750 Bloomsbury Ave","","Ocean","NJ","7712","39.32764514",-82.10223129
"Lagunitas Brewing Company","Willett Whiskey Barrel-Aged Imperial Stout","1280 N McDowell Blvd","","Petaluma","CA","94954","38.27264795",-122.6619197
"Lagunitas Brewing Company","Born Again Yesterday","1280 N McDowell Blvd","","Petaluma","CA","94954","38.27264795",-122.6619197
"Lagunitas Brewing Company","Dark Swan","1280 N McDowell Blvd","","Petaluma","CA","94954","38.27264795",-122.6619197
"Left Hand Brewing Company","Bittersweet Nitro Imperial Coffee Milk Stout","1265 Boston Ave","","Longmont","CO","80501","40.1582861",-105.117212
"Les Trois Mousquetaires","Série Signature IPA","3755 Boulevard Matte","Local C","Brossard","QC ","J4Y 2P4","45.4312056",-73.4651899
"LIC Beer Project","Backjump","28 23rd St","","Long Island City","NY","11101","40.7549273",-73.9414153
"LIC Beer Project","Higher Burnin'","28 23rd St","","Long Island City","NY","11101","40.7549273",-73.9414153
"LIC Beer Project","Full Monty (Sand City Brewing Co Collaboration)","28 23rd St","","Long Island City","NY","11101","40.7549273",-73.9414153
"LIC Beer Project","Pile Of Crowns","28 23rd St","","Long Island City","NY","11101","40.7549273",-73.9414153
"Long Trail Brewing Company","Bourbon-Barrel Aged Unearthed","5520 US-4","","Bridgewater Corners","VT","5035","43.588444",-72.6618437
"Lost Nation Brewing","Roll Away IPA","87 Old Creamery Rd",""," Morristown","VT","5661","44.569689",-72.6052707
"Lupulin Brewing","Blissful Ignorance #4","570 Humboldt Drive","#107","Big Lake","MN","55309","45.331729",-93.7418207
"Magnify Brewing Company","Maine Event","1275 Bloomfield Ave #40C","","Fairfield","NJ","7004","40.8619728",-74.3208386
"Magnify Brewing Company","Headaches","1275 Bloomfield Ave #40C","","Fairfield","NJ","7004","40.8619728",-74.3208386
"Magnify Brewing Company","Peak Oil Imperial IPA","1275 Bloomfield Ave #40C","","Fairfield","NJ","7004","40.8619728",-74.3208386
"Maine Beer Company","Hop Program - Beer V","525 US Route 1","","Freeport","ME","4032","45.587153",-121.537576
"Maplewood Brewery & Distillery","Son Of Juice","2717 N Maplewood Ave","","Chicago","IL","60647","41.9308614",-87.6934255
"Melvin Brewing / Thai Me Up","Lambda Lambda Lambda","624 Co Rd 101","","Alpine","WY","83128","43.1651305",-111.0404874
"Modern Times Beer","Attack Frequency","3725 Greenwood St","","San Diego","CA","92110","44.9733314",-93.247714
"Modern Times Beer","Underworld Dreams","3725 Greenwood St","","San Diego","CA","92110","44.9733314",-93.247714
"Modern Times Beer","Triton Project","3725 Greenwood St","","San Diego","CA","92110","44.9733314",-93.247714
"Modern Times Beer","Dinosaur World","3725 Greenwood St","","San Diego","CA","92110","44.9733314",-93.247714
"Modern Times Beer","Accumulated Knowledge","3725 Greenwood St","","San Diego","CA","92110","44.9733314",-93.247714
"Modern Times Beer","Goblin Rock","3725 Greenwood St","","San Diego","CA","92110","44.9733314",-93.247714
"Modern Times Beer","Haunted Stars","3725 Greenwood St","","San Diego","CA","92110","44.9733314",-93.247714
"Modern Times Beer","Blam Blam","3725 Greenwood St","","San Diego","CA","92110","44.9733314",-93.247714
"Monkish Brewing Company","Atomically","20311 S Western Ave",""," Torrance","CA","90501","33.8463468",-118.3125374
"Monkish Brewing Company","Foggier Window","20311 S Western Ave",""," Torrance","CA","90501","33.8463468",-118.3125374
"Monkish Brewing Company","Spock It","20311 S Western Ave",""," Torrance","CA","90501","33.8463468",-118.3125374
"Monkish Brewing Company","Supa Dupa Fly","20311 S Western Ave",""," Torrance","CA","90501","33.8463468",-118.3125374
"Moonraker Brewing Company","Yojo","12970 Earhart Ave #100","","Auburn","CA","95602","38.9504884",-121.0837605
"New England Brewing Company","Super Supernaut","175 Amity Rd","","Woodbridge","CT","6525","32.754233",-117.206153
"New Glarus Brewing Company","R&D Pommier Sauvage","2400 Hwy 69","","New Glarus","WA","53574","41.33934991",-72.98083608
"New Glarus Brewing Company","Thumbprint Cran-Bic 2016","2400 Hwy 69","","New Glarus","WA","53574","41.33934991",-72.98083608
"New Glarus Brewing Company","R&D Champ Du Blanc","2400 Hwy 69","","New Glarus","WA","53574","41.33934991",-72.98083608
"New Glarus Brewing Company","Thumbprint Smoke On The Porter","2400 Hwy 69","","New Glarus","WA","53574","41.33934991",-72.98083608
"New Holland Brewing Company","Hoptronix","66 E 8th St","","Holland","MI","49423","42.8042429",-86.1267247
"New Holland Brewing Company","Dragon's Milk Reserve - Coconut Rum Barrel","66 E 8th St","","Holland","MI","49423","42.8042429",-86.1267247
"Night Shift Brewing","One Hop This Time: Simcoe","87 Santilli Hwy","","Everett","MA","2149","42.4059707",-71.0700747
"Night Shift Brewing","Morph 1/26/17","87 Santilli Hwy","","Everett","MA","2149","42.4059707",-71.0700747
"North Peak Brewing Company","Stormy Oat IPA","400 W Front St","","Traverse City","MI","49684","44.7642342",-85.6306096
"Odd Side Ales","Barrel Aged Sweet Potato Soufflé Rye Ale","41 Washington Ave #160","","Grand Haven","MI","49417","43.0649497",-86.2348668
"Odell Brewing Company","Elephunk","800 E Lincoln Ave","","Fort Collins","CO","80524","40.5894674",-105.0653706
"Old Nation Brewing Company","M43 Juicy India Pale Ale","1500 E Grand River Ave","","Williamston","MI","48895","42.6874147",-84.305347
"Omnipollo","Selassie - Coffee & Vanilla Beans","Tjärhovsgatan 6","","Stockholm","Sweden","116 21 ","59.3148865",18.0726918
"Oskar Blues Grill & Brew","Death By Coconut (Rum Barrel Aged)","303 Main St","","Lyons","CO","80540","40.22451332",-105.2676934
"Other Half Brewing Company","Double Dry Hopped Double Mosaic Dream","195 Centre St","","Brooklyn","NY","11231","40.673855",-73.99908
"Other Half Brewing Company","Double Dry Hopped Mylar Bags","195 Centre St","","Brooklyn","NY","11231","40.673855",-73.99908
"Other Half Brewing Company","3rd Anniversary Imperial IPA","195 Centre St","","Brooklyn","NY","11231","40.673855",-73.99908
"Other Half Brewing Company","Real Talk","195 Centre St","","Brooklyn","NY","11231","40.673855",-73.99908
"Other Half Brewing Company","Other Half / Trillium Like Whoa","195 Centre St","","Brooklyn","NY","11231","40.673855",-73.99908
"Other Half Brewing Company","Double Dry Hopped Space Diamonds","195 Centre St","","Brooklyn","NY","11231","40.673855",-73.99908
"Other Half Brewing Company","Short, Dark & Wired","195 Centre St","","Brooklyn","NY","11231","40.673855",-73.99908
"Other Half Brewing Company","Double Dry Hopped All Citra Everything","195 Centre St","","Brooklyn","NY","11231","40.673855",-73.99908
"Other Half Brewing Company","Throw Some Mo","195 Centre St","","Brooklyn","NY","11231","40.673855",-73.99908
"Other Half Brewing Company","Space Diamonds","195 Centre St","","Brooklyn","NY","11231","40.673855",-73.99908
"Other Half Brewing Company","Forever Simcoe","195 Centre St","","Brooklyn","NY","11231","40.673855",-73.99908
"Other Half Brewing Company","Double Dry Hopped Suparillo","195 Centre St","","Brooklyn","NY","11231","40.673855",-73.99908
"Other Half Brewing Company","Blowin' Up The Spot (Monkish Collaboration)","195 Centre St","","Brooklyn","NY","11231","40.673855",-73.99908
"Other Half Brewing Company","Nummy Nug Nug","195 Centre St","","Brooklyn","NY","11231","40.673855",-73.99908
"Other Half Brewing Company","Southern Passion/J-17 DIPA","195 Centre St","","Brooklyn","NY","11231","40.673855",-73.99908
"Other Half Brewing Company","Double Dry Hopped Stacks On Stacks","195 Centre St","","Brooklyn","NY","11231","40.673855",-73.99908
"Other Half Brewing Company","Nelson Sauvin/Motueka DIPA","195 Centre St","","Brooklyn","NY","11231","40.673855",-73.99908
